budget,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,money_now,revenue_now,budget_now,cast_score
270000000,1452,en,"Superman Returns","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,2006-06-28,391081192,154,Released,,5.4,1400,,489862649.0,338198098.0,54799420.9184797
200000000,10764,en,"Quantum of Solace","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,2008-10-30,586090727,106,Released,"For love, for hate, for justice, for revenge.",6.1,2965,,687989449.0,234772337.0,212679360.2044
200000000,58,en,"Pirates of the Caribbean: Dead Man's Chest","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,2006-06-20,1065659812,151,Released,"Jack is back!",7.0,5246,,1334830078.0,250517109.0,447354440.036651
255000000,57201,en,"The Lone Ranger","The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,2013-07-03,89289910,149,Released,"Never Take Off the Mask",5.9,2311,,96848921.0,276587520.0,136746142.695423
225000000,49521,en,"Man of Steel","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,2013-06-12,662845518,143,Released,"You will believe that a man can fly.",6.5,6359,,718959992.0,244047812.0,185869866.387449
225000000,2454,en,"The Chronicles of Narnia: Prince Caspian","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,2008-05-15,419651413,150,Released,"Hope has a new face.",6.3,1630,,492612716.0,264118880.0,410244332.722953
220000000,24428,en,"The Avengers","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,2012-04-25,1519557910,143,Released,"Some assembly required.",7.4,11776,,1672922021.0,242203895.0,183013695.024304
380000000,1865,en,"Pirates of the Caribbean: On Stranger Tides","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,2011-05-14,1045713802,136,Released,"Live Forever Or Die Trying.",6.4,4948,,1175430687.0,427137578.0,300676065.8398
225000000,41154,en,"Men in Black 3","Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,2012-05-23,624026776,106,Released,"They are back... in time.",6.2,4160,,687007799.0,247708529.0,176333502.591703
250000000,122917,en,"The Hobbit: The Battle of the Five Armies","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743,2014-12-10,956019788,144,Released,"Witness the defining chapter of the Middle-Earth saga",7.1,4760,,1020623523.0,266893933.0,666041308.228881
215000000,1930,en,"The Amazing Spider-Man","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,2012-06-27,752215857,136,Released,"The untold story begins.",6.5,6586,,828134593.0,236699261.0,185364294.691897
200000000,20662,en,"Robin Hood","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,2010-05-12,310669540,140,Released,"Rise and rise again, until lambs become lions.",6.2,1398,,360381556.0,232003148.0,174222635.917162
250000000,57158,en,"The Hobbit: The Desolation of Smaug","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,2013-12-11,958400000,161,Released,"Beyond darkness... beyond desolation... lies the greatest danger of all.",7.6,4524,,1039535213.0,271164235.0,693002946.045412
180000000,2268,en,"The Golden Compass","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,2007-12-04,372234864,113,Released,"There are worlds beyond our own - the compass will show the way.",5.8,1303,,453556431.0,219324318.0,202510415.880406
207000000,254,en,"King Kong","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.22601,2005-12-14,550000000,187,Released,"The eighth wonder of the world.",6.6,2337,,710967556.0,267582335.0,197346048.166416
250000000,271110,en,"Captain America: Civil War","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395,2016-04-27,1153304495,147,Released,"Divided We Fall",7.1,7241,,1214224954.0,263205632.0,131468333.371043
209000000,44833,en,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382,2012-04-11,303025485,131,Released,"The Battle for Earth Begins at Sea",5.5,2114,,333608876.0,230093700.0,125161034.109487
150000000,135397,en,"Jurassic World","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,2015-06-09,1513528810,124,Released,"The park is open.",6.5,8662,,1614192432.0,159976383.0,135375552.300047
200000000,37724,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,2012-10-25,1108561013,143,Released,"Think on your sins.",6.9,7604,,1220444524.0,220185359.0,172953342.101587
200000000,558,en,"Spider-Man 2","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,2004-06-25,783766341,127,Released,"There's a hero in all of us.",6.7,4321,,1047596988.0,267323801.0,309673588.40357
200000000,68721,en,"Iron Man 3","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,2013-04-18,1215439994,130,Released,"Unleash the power behind the armor.",6.8,8806,,1318335427.0,216931388.0,182770580.357364
200000000,12155,en,"Alice in Wonderland","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,2010-03-03,1025491110,108,Released,"You're invited to a very important date.",6.4,4645,,1189585828.0,232003148.0,256790610.17072
210000000,36668,en,"X-Men: The Last Stand","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,2006-05-24,459359555,104,Released,"Take a Stand",6.3,3525,,575387139.0,263042965.0,253401819.2765
200000000,62211,en,"Monsters University","A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.",89.186492,2013-06-20,743559607,104,Released,"School never looked this scary.",7.0,3528,,806507089.0,216931388.0,298403246.074798
150000000,8373,en,"Transformers: Revenge of the Fallen","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",21.939663,2009-06-19,836297228,150,Released,"Revenge is coming.",6.0,3138,,985639834.0,176786399.0,380002703.869874
210000000,91314,en,"Transformers: Age of Extinction","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",116.840296,2014-06-25,1091405097,165,Released,"This is not war. It's extinction.",5.8,3095,,1165157593.0,224190903.0,201360279.559008
200000000,68728,en,"Oz: The Great and Powerful","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445,2013-03-07,491868548,130,Released,"In Oz, nothing is what it seems",5.7,3530,,533508635.0,216931388.0,149202081.362193
200000000,102382,en,"The Amazing Spider-Man 2","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",89.270217,2014-04-16,705717432,142,Released,"No more secrets.",6.5,4179,,753406803.0,213515146.0,168987103.195115
170000000,20526,en,"TRON: Legacy","Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505,2010-12-10,400062763,125,Released,"The Game Has Changed.",6.3,2841,,464079102.0,197202676.0,159930403.237112
200000000,49013,en,"Cars 2","Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.",49.98659,2011-06-11,559852396,106,Released,Ka-ciao!,5.8,2033,,629299991.0,224809252.0,227887015.441419
200000000,44912,en,"Green Lantern","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,2011-06-16,219851172,114,Released,"In our darkest hour, there will be light.",5.1,2487,,247122887.0,224809252.0,111166241.816222
200000000,10193,en,"Toy Story 3","Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",59.995418,2010-06-16,1066969703,103,Released,"No toy gets left behind.",7.6,4597,,1237701648.0,232003148.0,459498333.673329
200000000,534,en,"Terminator Salvation","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",71.862892,2009-05-20,371353001,115,Released,"The End Begins.",5.9,2463,,437667731.0,235715198.0,202752597.508176
190000000,168259,en,"Furious 7","Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.",102.322217,2015-04-01,1506249360,137,Released,"Vengeance Hits Home",7.3,4176,,1606428831.0,202636752.0,203590568.363335
200000000,72190,en,"World War Z","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",81.834855,2013-06-20,531865000,116,Released,"Remember Philly!",6.7,5560,,576891064.0,216931388.0,134317438.302545
250000000,127585,en,"X-Men: Days of Future Past","The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.",118.078691,2014-05-15,747862775,131,Released,"To save the future, they must alter the past",7.5,6032,,798400148.0,266893933.0,188097289.255891
190000000,54138,en,"Star Trek Into Darkness","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",78.291018,2013-05-05,467365246,132,Released,"Earth Will Fall",7.4,4418,,506930958.0,206084819.0,186158329.204766
195000000,81005,en,"Jack the Giant Slayer","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",43.349855,2013-02-27,197687603,114,Released,"Prepare for a giant adventure",5.5,2598,,214423231.0,211508104.0,267783088.001681
105000000,64682,en,"The Great Gatsby","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",61.196071,2013-05-10,351040419,143,Released,"Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.",7.3,3769,,380758427.0,113888979.0,165981310.940248
150000000,9543,en,"Prince of Persia: The Sands of Time","A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",62.169881,2010-05-19,335154643,116,Released,"Defy the Future",6.2,2317,,388784661.0,174002361.0,103026906.788992
180000000,68726,en,"Pacific Rim","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",56.523205,2013-07-11,407602906,131,Released,"To Fight Monsters, We Created Monsters",6.7,4794,,442109321.0,195238250.0,70886500.7768457
195000000,38356,en,"Transformers: Dark of the Moon","Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",28.529607,2011-06-28,1123746996,154,Released,"The invasion we always feared. An enemy we never expected.",6.1,3299,,1263143606.0,219189020.0,337526559.441523
185000000,217,en,"Indiana Jones and the Kingdom of the Crystal Skull","Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",75.674458,2008-05-21,786636033,122,Released,"The adventure continues . . .",5.7,2495,,923401901.0,217164412.0,130061980.107555
175000000,105864,en,"The Good Dinosaur","An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.",51.692953,2015-11-14,331926147,93,Released,"Little Arms With Big Attitude",6.6,1736,,354002296.0,186639114.0,179751274.881464
185000000,62177,en,Brave,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",125.114374,2012-06-21,538983207,93,Released,"Change your fate.",6.7,4641,,593381055.0,203671457.0,240790377.945556
185000000,188927,en,"Star Trek Beyond","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",65.352913,2016-07-07,343471816,122,Released,,6.6,2568,,361614866.0,194772168.0,152610337.557692
180000000,10681,en,"WALL·E","WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",66.390712,2008-06-22,521311860,98,Released,"An adventure beyond the ordinar-E.",7.8,6296,,611948019.0,211295104.0,583032265.627472
140000000,5174,en,"Rush Hour 3","After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",22.57178,2007-08-08,258022233,91,Released,"The Rush Is On!",6.1,783,,314391945.0,170585580.0,198919213.350794
200000000,14161,en,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",45.274225,2009-10-10,769653595,158,Released,"We Were Warned.",5.6,4903,,907095248.0,235715198.0,177130431.317879
200000000,17979,en,"A Christmas Carol","Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",39.744242,2009-11-04,325233863,96,Released,"Season's Greedings",6.6,1095,,383312822.0,235715198.0,163199641.620925
176000003,76757,en,"Jupiter Ascending","In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",85.36908,2015-02-04,183987723,124,Released,"Expand your universe.",5.2,2768,,196224603.0,187705626.0,195012426.847461
180000000,258489,en,"The Legend of Tarzan","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",42.741719,2016-06-29,356743061,109,Released,"Human. Nature.",5.5,2430,,375587131.0,189508055.0,178432466.502019
180000000,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",67.391328,2005-12-07,748806957,143,Released,"Evil Has Reigned For 100 Years...",6.7,2629,,967959004.0,232680291.0,241840215.12027
178000000,246655,en,"X-Men: Apocalypse","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",139.272042,2016-05-18,543934787,144,Released,"Only the strong will survive",6.4,4721,,572666798.0,187402410.0,87665906.4996167
185000000,155,en,"The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,2008-07-16,1004558444,152,Released,"Why So Serious?",8.2,12002,,1179212670.0,217164412.0,162423943.582778
175000000,14160,en,Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",92.201962,2009-05-13,735099082,96,Released,,7.7,6870,,866370129.0,206250798.0,497327894.670847
175000000,15512,en,"Monsters vs Aliens","When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",36.167578,2009-03-19,381509870,94,Released,"When aliens attack, monsters fight back.",6.0,1423,,449638373.0,206250798.0,375610895.334876
140000000,1726,en,"Iron Man","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",120.725053,2008-04-30,585174222,126,Released,"Heroes aren't born. They're built.",7.4,8776,,686913599.0,164340636.0,165794165.486649
170000000,44826,en,Hugo,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",32.319043,2011-11-22,185770160,126,Released,"One of the most legendary directors of our time takes you on an extraordinary adventure.",7.0,2141,,208814253.0,191087864.0,269922114.586827
145000000,1735,en,"The Mummy: Tomb of the Dragon Emperor","Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",60.034162,2008-07-01,401128639,112,Released,"A New Evil Awakens.",5.2,1387,,470869541.0,170209945.0,95936745.2424712
